person_id,full_name,aliases,dob,gender,address,id_proof_type,id_proof_number,occupation,known_associates_count,first_seen_case
P0413,Ritesh Wanjarkhede,R. Wanjarkhede,1978-10-10,M,"213, Kaveri Depot Workers Colony",AADHAAR-FICT,9999-1224-2416,Primary teacher,1,FIR-2026-0409
P0414,Pooja Ranmale,P. Ranmale,1994-05-07,F,"208, Vashisht Market Road",PAN-FICT,ZZHPZ9033Z,Hotel staff,0,FIR-2026-0433
P0415,Rutuja Bhandarkar,,2002-07-13,F,"152, Tilakwadi",VOTERID-FICT,ZZX7001258,Lab technician,1,
P0416,Rupesh Barhate,,1965-04-02,M,"34, Kaveri Depot Workers Colony",DL-FICT,MP-FICT-2020-103185,Primary teacher,2,FIR-2026-0422
P0417,Sudhir Yeolekar,,1974-03-21,M,"6, Chhota Bazaar",AADHAAR-FICT,9999-1252-2468,Student,2,FIR-2026-0371
P0418,Omkar Bhosalekar,O. Bhosalekar,2003-05-01,M,"230, Vashisht Market Road",PAN-FICT,ZZLPZ9037Z,Photographer,1,FIR-2026-0393
P0419,Ayesha Kharpude,A. Kharpude,1980-04-22,F,"178, Kaveri Depot Workers Colony",VOTERID-FICT,ZZX7001406,Chartered accountant,0,FIR-2026-0417
P0420,Sulabha Lonkar,,2002-01-06,F,"152, Purana Peth",DL-FICT,MP-FICT-2024-103549,Student,1,
P0421,Shalini Rasal,,1984-04-24,F,"174, Nandanvan West",AADHAAR-FICT,9999-1280-2520,Shopkeeper,2,
P0422,Vaishali Kambale,V. Kambale,1976-12-10,F,"220, Bhilwara Basti",PAN-FICT,ZZPPZ9041Z,Lab technician,2,
P0423,Shrikant Yeolekar,,1983-01-10,M,"171, Bhilwara Basti",VOTERID-FICT,ZZX7001554,Bus conductor,0,
P0424,Trupti Tarnekar,,1993-04-23,F,"26, Devgiri Colony",DL-FICT,MP-FICT-2018-103913,Student,0,
P0425,Nitin Nagarkar,N. Nagarkar,1962-07-26,M,"93, Bhilwara Basti",AADHAAR-FICT,9999-1308-2572,Shopkeeper,2,
P0426,Vaibhav Tarnekar,,1999-01-17,M,"158, Chhota Bazaar",PAN-FICT,ZZTPZ9045Z,Carpenter,0,
P0427,Vaibhav Bhoyar,V. Bhoyar,1995-03-09,M,"109, Ghatpimpri Road",VOTERID-FICT,ZZX7001702,Pharmacist,2,
P0428,Vaishali Mundhe,,1964-03-16,F,"82, Vashisht Market Road",DL-FICT,MP-FICT-2022-104277,Nurse,1,
P0429,Kalyani Bhoyar,,1976-12-25,F,"213, Ghatpimpri Road",AADHAAR-FICT,9999-1336-2624,Lab technician,1,
P0430,Kartik Gaikwade,,1970-06-11,M,"170, Devgiri Colony",PAN-FICT,ZZXPZ9049Z,Auto rickshaw driver,1,
P0431,Ritesh Ghugarkar,R. Ghugarkar,1971-02-15,M,"93, Sahastradhara Enclave",VOTERID-FICT,ZZX7001850,Security guard,2,
P0432,Ashwin Jhalke,,1975-05-08,M,"66, Sahastradhara Enclave",DL-FICT,MP-FICT-2016-104641,Milk supplier,1,
P0433,Madhuri Mundhe,M. Mundhe,1986-05-05,F,"124, Nandanvan East",AADHAAR-FICT,9999-1364-2676,Electrician,2,
P0434,Ritesh Ambulge,R. Ambulge,1963-12-14,M,"100, Ganjbasoda Lane",PAN-FICT,ZZBPZ9053Z,Pharmacist,0,
P0435,Mahendra Bhosalekar,M. Bhosalekar,1968-06-21,M,"86, Ghatpimpri Road",VOTERID-FICT,ZZX7001998,Government clerk,2,
P0436,Nandini Tarnekar,N. Tarnekar,1972-07-02,F,"114, Bhilwara Basti",DL-FICT,MP-FICT-2020-105005,Milk supplier,0,
P0437,Manisha Ranmale,,1996-08-17,F,"122, Kaveri Depot Workers Colony",AADHAAR-FICT,9999-1392-2728,Insurance agent,1,
P0438,Pooja Vaidyanathan,,1976-05-28,F,"7, Devgiri Colony",PAN-FICT,ZZFPZ9057Z,Primary teacher,1,
P0439,Anjali Lonkar,A. Lonkar,1996-05-24,F,"125, Nandanvan East",VOTERID-FICT,ZZX7002146,Milk supplier,1,
P0440,Ganesh Kanhere,,1982-07-07,M,"236, Ghatpimpri Road",DL-FICT,MP-FICT-2024-105369,Carpenter,0,
P0441,Firdaus Zirpe,,1965-01-06,F,"34, Ganjbasoda Lane",AADHAAR-FICT,9999-1420-2780,Data entry operator,0,
P0442,Shrikant Mundhe,,1968-11-15,M,"93, Ganjbasoda Lane",PAN-FICT,ZZJPZ9061Z,Plumber,2,
P0443,Shalini Hivarkar,S. Hivarkar,1988-08-08,F,"150, Ghatpimpri Road",VOTERID-FICT,ZZX7002294,Vegetable vendor,1,
P0444,Ashwin Pimparkar,A. Pimparkar,1986-06-25,M,"17, Nandanvan East",DL-FICT,MP-FICT-2018-105733,Auto rickshaw driver,1,
P0445,Firdaus Nemade,,1975-09-14,F,"228, Bhilwara Basti",AADHAAR-FICT,9999-1448-2832,Bus conductor,1,
P0446,Manisha Salunkhewar,,1986-11-01,F,"36, Nandanvan East",PAN-FICT,ZZNPZ9065Z,Tempo operator,1,
P0447,Vaibhav Ambulge,,1976-06-02,M,"68, Nandanvan West",VOTERID-FICT,ZZX7002442,Carpenter,2,
P0448,Pooja Mundhe,P. Mundhe,1993-09-15,F,"67, Nandanvan West",DL-FICT,MP-FICT-2022-106097,Data entry operator,1,
P0449,Kunal Tarnekar,K. Tarnekar,1979-03-28,M,"58, Devgiri Colony",AADHAAR-FICT,9999-1476-2884,Lab technician,2,
P0450,Yogesh Pimparkar,Y. Pimparkar,1984-03-21,M,"204, Nandanvan East",PAN-FICT,ZZRPZ9069Z,Bank clerk,0,
P0451,Yogesh Nemade,,1989-07-09,M,"63, Ghatpimpri Road",VOTERID-FICT,ZZX7002590,Plumber,1,
P0452,Madhuri Nagarkar,M. Nagarkar,1994-11-14,F,"153, Ghatpimpri Road",DL-FICT,MP-FICT-2016-106461,Hotel staff,1,
P0453,Anil Nemade,,1994-04-28,M,"16, Chhota Bazaar",AADHAAR-FICT,9999-1504-2936,Auto rickshaw driver,1,
P0454,Shalini Kharpude,S. Kharpude,2003-01-22,F,"2, Nandanvan West",PAN-FICT,ZZVPZ9073Z,Lab technician,2,
P0455,Sudhir Nagarkar,,1978-02-05,M,"116, Nandanvan West",VOTERID-FICT,ZZX7002738,Lab technician,1,
