call_id,caller_number,receiver_number,timestamp,duration_seconds,cell_tower_id,call_type
CALL-000070,+919000015240,+919000017118,2026-03-05 19:18:48,18,CT-005,voice
CALL-000071,+919000017028,+919000017025,2026-03-05 19:48:14,468,CT-005,voice
CALL-000072,+919000017001,+919000016201,2026-03-06 01:17:11,96,CT-004,voice
CALL-000073,+919000016201,+919000017076,2026-03-06 02:26:17,392,CT-004,voice
CALL-000074,+919000016201,+919000017121,2026-03-06 02:37:48,299,CT-004,voice
CALL-000075,+919000017076,+919000016201,2026-03-06 03:44:39,259,CT-004,voice
CALL-000076,+919000017022,+919000016201,2026-03-06 06:36:34,161,CT-005,voice
CALL-000077,+919000011012,+919000011238,2026-03-06 08:46:41,134,CT-024,voice
CALL-000078,+919000016412,+919000016201,2026-03-06 10:11:24,483,CT-009,voice
CALL-000079,+919000017037,+919000017097,2026-03-06 10:17:25,0,CT-023,sms
CALL-000080,+919000016288,+919000017010,2026-03-06 10:53:00,557,CT-013,voice
CALL-000081,+919000014417,+919000014892,2026-03-06 14:12:00,120,CT-003,voice
CALL-000082,+919000011145,+919000011238,2026-03-06 18:26:33,503,CT-022,voice
CALL-000083,+919000017022,+919000016201,2026-03-06 20:13:48,0,CT-021,sms
CALL-000084,+919000017016,+919000014417,2026-03-07 01:19:45,0,CT-014,sms
CALL-000085,+919000017148,+919000017154,2026-03-07 02:36:56,419,CT-018,voice
CALL-000086,+919000017016,+919000016201,2026-03-07 02:40:00,249,CT-004,voice
CALL-000087,+919000016201,+919000017016,2026-03-07 03:38:42,380,CT-004,voice
CALL-000088,+919000017016,+919000016201,2026-03-07 03:44:46,239,CT-004,voice
CALL-000089,+919000014503,+919000017148,2026-03-07 05:43:48,560,CT-023,voice
CALL-000090,+919000011482,+919000011593,2026-03-07 06:52:43,0,CT-007,sms
CALL-000091,+919000014503,+919000014907,2026-03-07 07:14:45,347,CT-008,voice
CALL-000092,+919000018855,+919000017010,2026-03-07 09:18:23,305,CT-026,voice
CALL-000093,+919000017013,+919000017040,2026-03-07 10:00:46,253,CT-010,voice
CALL-000094,+919000016201,+919000017121,2026-03-07 10:27:16,473,CT-004,voice
CALL-000095,+919000011376,+919000011482,2026-03-07 14:24:42,0,CT-011,sms
CALL-000096,+919000017142,+919000015014,2026-03-07 15:25:51,70,CT-001,voice
CALL-000097,+919000014503,+919000015014,2026-03-07 16:41:46,341,CT-021,voice
CALL-000098,+919000014892,+919000014907,2026-03-07 16:44:50,0,CT-020,sms
CALL-000099,+919000017142,+919000014907,2026-03-07 17:39:20,548,CT-017,voice
CALL-000100,+919000016340,+919000017124,2026-03-07 19:27:55,613,CT-016,voice
CALL-000101,+919000014417,+919000014503,2026-03-07 21:25:20,0,CT-003,sms
CALL-000102,+919000016201,+919000017001,2026-03-08 01:34:36,406,CT-004,voice
CALL-000103,+919000016201,+919000017016,2026-03-08 01:37:13,209,CT-004,voice
CALL-000104,+919000016201,+919000017025,2026-03-08 01:44:21,255,CT-004,voice
CALL-000105,+919000016201,+919000017121,2026-03-08 02:05:51,75,CT-004,voice
CALL-000106,+919000016201,+919000017139,2026-03-08 04:22:38,140,CT-004,voice
CALL-000107,+919000016201,+919000017067,2026-03-08 04:29:05,361,CT-004,voice
CALL-000108,+919000017010,+919000017124,2026-03-08 05:53:36,0,CT-022,sms
CALL-000109,+919000011012,+919000011644,2026-03-08 06:47:37,131,CT-001,voice
CALL-000110,+919000018465,+919000017103,2026-03-08 07:59:53,517,CT-011,voice
CALL-000111,+919000017154,+919000017151,2026-03-08 09:01:58,179,CT-023,voice
CALL-000112,+919000017043,+919000017079,2026-03-08 09:03:52,552,CT-018,voice
CALL-000113,+919000017145,+919000015240,2026-03-08 10:06:17,0,CT-010,sms
CALL-000114,+919000016340,+919000017037,2026-03-08 17:44:52,283,CT-018,voice
CALL-000115,+919000016503,+919000016577,2026-03-08 20:22:27,65,CT-007,voice
CALL-000116,+919000017085,+919000017016,2026-03-08 20:35:17,133,CT-010,voice
CALL-000117,+919000016340,+919000017145,2026-03-09 00:46:34,579,CT-016,voice
CALL-000118,+919000017148,+919000016201,2026-03-09 02:47:02,203,CT-004,voice
CALL-000119,+919000017055,+919000017061,2026-03-09 03:45:39,0,CT-017,sms
CALL-000120,+919000014417,+919000015014,2026-03-09 04:13:57,281,CT-003,voice
CALL-000121,+919000016201,+919000017124,2026-03-09 04:22:49,292,CT-004,voice
CALL-000122,+919000011012,+919000011644,2026-03-09 09:19:20,30,CT-001,voice
CALL-000123,+919000017136,+919000016340,2026-03-09 13:00:18,177,CT-007,voice
CALL-000124,+919000016340,+919000017055,2026-03-09 13:17:30,534,CT-016,voice
CALL-000125,+919000014417,+919000014892,2026-03-09 15:09:00,69,CT-003,voice
CALL-000126,+919000016288,+919000018855,2026-03-09 15:59:21,501,CT-013,voice
CALL-000127,+919000011145,+919000017031,2026-03-09 17:16:19,0,CT-022,sms
CALL-000128,+919000011012,+919000011376,2026-03-09 17:47:09,524,CT-005,voice
CALL-000129,+919000011012,+919000014417,2026-03-09 19:03:00,96,CT-001,voice
CALL-000130,+919000017052,+919000017139,2026-03-09 20:15:30,0,CT-018,sms
CALL-000131,+919000017082,+919000014420,2026-03-09 20:31:10,535,CT-010,voice
CALL-000132,+919000017100,+919000017160,2026-03-09 20:39:30,88,CT-009,voice
CALL-000133,+919000014503,+919000015014,2026-03-09 20:49:24,107,CT-021,voice
CALL-000134,+919000014892,+919000014907,2026-03-09 21:57:50,593,CT-020,voice
CALL-000135,+919000017031,+919000017151,2026-03-09 23:40:29,460,CT-015,voice
CALL-000136,+919000017022,+919000018546,2026-03-10 00:07:07,406,CT-013,voice
CALL-000137,+919000011376,+919000017145,2026-03-10 00:22:27,0,CT-011,sms
CALL-000138,+919000011376,+919000011482,2026-03-10 01:07:26,0,CT-011,sms
CALL-000139,+919000016201,+919000017031,2026-03-10 01:21:53,409,CT-004,voice
CALL-000140,+919000017124,+919000016201,2026-03-10 01:55:52,136,CT-004,voice
CALL-000141,+919000016201,+919000017157,2026-03-10 01:59:14,206,CT-004,voice
CALL-000142,+919000018429,+919000018546,2026-03-10 02:11:56,0,CT-007,sms
CALL-000143,+919000016201,+919000017148,2026-03-10 04:09:54,288,CT-004,voice
CALL-000144,+919000016503,+919000015014,2026-03-10 04:34:19,0,CT-007,sms
CALL-000145,+919000017016,+919000014417,2026-03-10 07:57:54,375,CT-024,voice
CALL-000146,+919000018429,+919000014907,2026-03-10 08:22:46,559,CT-022,voice
CALL-000147,+919000017145,+919000017055,2026-03-10 12:44:09,160,CT-017,voice
CALL-000148,+919000017100,+919000017061,2026-03-10 13:17:25,398,CT-006,voice
CALL-000149,+919000011644,+919000017088,2026-03-10 13:38:23,490,CT-010,voice
CALL-000150,+919000016288,+919000017010,2026-03-10 14:50:00,119,CT-013,voice
CALL-000151,+919000011376,+919000011482,2026-03-10 17:29:54,431,CT-011,voice
CALL-000152,+919000016340,+919000017061,2026-03-10 18:19:01,309,CT-016,voice
CALL-000153,+919000017100,+919000017064,2026-03-10 18:44:58,0,CT-017,sms
CALL-000154,+919000017094,+919000017121,2026-03-10 18:56:16,0,CT-018,sms
CALL-000155,+919000017151,+919000017097,2026-03-10 20:44:48,273,CT-001,voice
CALL-000156,+919000011012,+919000011644,2026-03-10 23:48:07,206,CT-016,voice
CALL-000157,+919000016201,+919000017139,2026-03-11 01:19:02,84,CT-004,voice
CALL-000158,+919000017031,+919000016201,2026-03-11 01:53:27,92,CT-004,voice
CALL-000159,+919000017025,+919000016201,2026-03-11 02:03:27,366,CT-004,voice
CALL-000160,+919000016201,+919000017148,2026-03-11 02:27:36,41,CT-004,voice
CALL-000161,+919000017028,+919000016201,2026-03-11 03:13:15,285,CT-004,voice
CALL-000162,+919000016340,+919000017037,2026-03-11 11:27:58,0,CT-016,sms
CALL-000163,+919000014661,+919000014892,2026-03-11 11:42:55,543,CT-016,voice
CALL-000164,+919000014417,+919000011145,2026-03-11 15:20:00,287,CT-003,voice
CALL-000165,+919000014417,+919000014892,2026-03-11 17:07:00,33,CT-003,voice
CALL-000166,+919000011482,+919000017061,2026-03-11 17:58:14,357,CT-003,voice
CALL-000167,+919000011145,+919000011376,2026-03-11 18:38:55,334,CT-022,voice
CALL-000168,+919000017163,+919000016201,2026-03-11 21:52:54,608,CT-017,voice
CALL-000169,+919000018429,+919000017148,2026-03-12 01:30:56,575,CT-010,voice
CALL-000170,+919000016340,+919000017037,2026-03-12 01:41:06,47,CT-016,voice
CALL-000171,+919000017025,+919000016201,2026-03-12 02:28:06,128,CT-004,voice
CALL-000172,+919000017016,+919000016201,2026-03-12 02:47:18,83,CT-004,voice
CALL-000173,+919000016201,+919000017076,2026-03-12 03:14:39,62,CT-004,voice
CALL-000174,+919000017139,+919000016201,2026-03-12 03:25:07,239,CT-004,voice
CALL-000175,+919000016201,+919000017016,2026-03-12 03:51:46,274,CT-004,voice
CALL-000176,+919000017085,+919000017025,2026-03-12 05:21:17,326,CT-003,voice
CALL-000177,+919000017040,+919000017118,2026-03-12 08:56:54,0,CT-015,sms
CALL-000178,+919000018546,+919000017109,2026-03-12 09:02:52,486,CT-016,voice
CALL-000179,+919000017133,+919000014661,2026-03-12 09:37:05,0,CT-024,sms
CALL-000180,+919000016288,+919000017052,2026-03-12 11:33:00,103,CT-013,voice
CALL-000181,+919000014503,+919000014907,2026-03-12 16:25:55,566,CT-010,voice
CALL-000182,+919000014503,+919000014661,2026-03-12 18:03:38,0,CT-021,sms
CALL-000183,+919000017148,+919000017085,2026-03-12 18:13:02,374,CT-020,voice
CALL-000184,+919000011482,+919000011593,2026-03-12 18:19:14,594,CT-007,voice
CALL-000185,+919000016412,+919000017118,2026-03-12 21:46:31,0,CT-022,sms
CALL-000186,+919000016288,+919000015377,2026-03-12 22:29:20,0,CT-013,sms
CALL-000187,+919000011482,+919000016288,2026-03-12 23:22:51,0,CT-007,sms
CALL-000188,+919000014420,+919000017031,2026-03-12 23:55:57,0,CT-003,sms
CALL-000189,+919000016201,+919000017031,2026-03-13 01:19:24,355,CT-004,voice
CALL-000190,+919000016201,+919000017064,2026-03-13 01:23:05,392,CT-004,voice
CALL-000191,+919000017025,+919000016201,2026-03-13 01:40:10,169,CT-004,voice
CALL-000192,+919000016201,+919000017016,2026-03-13 02:25:27,140,CT-004,voice
CALL-000193,+919000017028,+919000016201,2026-03-13 03:13:49,104,CT-004,voice
CALL-000194,+919000017067,+919000016201,2026-03-13 03:29:29,156,CT-004,voice
CALL-000195,+919000017079,+919000014907,2026-03-13 03:37:29,0,CT-009,sms
CALL-000196,+919000011012,+919000011376,2026-03-13 03:56:55,586,CT-024,voice
CALL-000197,+919000017130,+919000017103,2026-03-13 04:06:22,0,CT-009,sms
CALL-000198,+919000017121,+919000017052,2026-03-13 06:14:21,375,CT-012,voice
CALL-000199,+919000011012,+919000011644,2026-03-13 06:38:33,0,CT-001,sms
CALL-000200,+919000011145,+919000011376,2026-03-13 07:32:47,280,CT-002,voice
CALL-000201,+919000014503,+919000015014,2026-03-13 08:45:59,348,CT-021,voice
CALL-000202,+919000014503,+919000014661,2026-03-13 10:31:21,46,CT-016,voice
CALL-000203,+919000011012,+919000011376,2026-03-13 11:09:36,349,CT-001,voice
CALL-000204,+919000017007,+919000017043,2026-03-13 11:26:25,266,CT-013,voice
CALL-000205,+919000017145,+919000017055,2026-03-13 11:28:58,148,CT-010,voice
CALL-000206,+919000014417,+919000014892,2026-03-13 15:55:00,137,CT-003,voice
CALL-000207,+919000017163,+919000016201,2026-03-13 18:58:17,0,CT-012,sms
CALL-000208,+919000017043,+919000017079,2026-03-13 20:23:13,571,CT-004,voice
CALL-000209,+919000017148,+919000017085,2026-03-14 06:03:06,55,CT-003,voice
CALL-000210,+919000015123,+919000014892,2026-03-14 07:03:32,0,CT-019,sms
CALL-000211,+919000017145,+919000017034,2026-03-14 08:30:12,0,CT-006,sms
CALL-000212,+919000017001,+919000016577,2026-03-14 09:15:30,574,CT-005,voice
CALL-000213,+919000017154,+919000016340,2026-03-14 10:51:03,129,CT-009,voice
CALL-000214,+919000018546,+919000015240,2026-03-14 11:50:47,502,CT-007,voice
CALL-000215,+919000017046,+919000017043,2026-03-14 12:03:36,343,CT-020,voice
CALL-000216,+919000017100,+919000017064,2026-03-14 14:12:37,404,CT-021,voice
CALL-000217,+919000017046,+919000011376,2026-03-14 15:21:14,456,CT-011,voice
CALL-000218,+919000011012,+919000014417,2026-03-14 16:28:00,487,CT-017,voice
CALL-000219,+919000014503,+919000014907,2026-03-14 16:36:32,335,CT-021,voice
CALL-000220,+919000011012,+919000014417,2026-03-14 20:51:00,173,CT-001,voice
CALL-000221,+919000014503,+919000014907,2026-03-14 21:10:36,466,CT-021,voice
CALL-000222,+919000017055,+919000016340,2026-03-14 21:17:27,0,CT-020,sms
CALL-000223,+919000017025,+919000016201,2026-03-15 01:22:21,163,CT-004,voice
CALL-000224,+919000016201,+919000017124,2026-03-15 01:35:59,389,CT-004,voice
CALL-000225,+919000017031,+919000016201,2026-03-15 02:28:29,327,CT-004,voice
CALL-000226,+919000017028,+919000016201,2026-03-15 03:15:18,135,CT-004,voice
CALL-000227,+919000018855,+919000017010,2026-03-15 03:17:06,320,CT-002,voice
CALL-000228,+919000016201,+919000017124,2026-03-15 03:19:59,171,CT-004,voice
CALL-000229,+919000017160,+919000017025,2026-03-15 08:35:56,339,CT-025,voice
CALL-000230,+919000017085,+919000017076,2026-03-15 12:19:40,121,CT-014,voice
CALL-000231,+919000016340,+919000017034,2026-03-15 12:35:06,114,CT-016,voice
CALL-000232,+919000016288,+919000017052,2026-03-15 13:17:00,433,CT-013,voice
CALL-000233,+919000014417,+919000018465,2026-03-15 13:33:45,441,CT-003,voice
CALL-000234,+919000014417,+919000015014,2026-03-15 15:03:34,318,CT-003,voice
CALL-000235,+919000015240,+919000017118,2026-03-15 16:51:03,292,CT-021,voice
CALL-000236,+919000016412,+919000016577,2026-03-15 17:52:26,577,CT-009,voice
CALL-000237,+919000014892,+919000014907,2026-03-15 21:06:51,376,CT-004,voice
CALL-000238,+919000011145,+919000011238,2026-03-15 21:35:09,179,CT-022,voice
CALL-000239,+919000018429,+919000017148,2026-03-15 23:09:27,311,CT-007,voice
CALL-000240,+919000011482,+919000017061,2026-03-16 00:00:50,235,CT-003,voice
CALL-000241,+919000017157,+919000016201,2026-03-16 01:48:32,158,CT-004,voice
CALL-000242,+919000011644,+919000011593,2026-03-16 02:04:42,487,CT-010,voice
CALL-000243,+919000017058,+919000016201,2026-03-16 03:12:47,55,CT-004,voice
CALL-000244,+919000017076,+919000016201,2026-03-16 03:44:40,49,CT-004,voice
CALL-000245,+919000016201,+919000017025,2026-03-16 03:51:58,108,CT-004,voice
CALL-000246,+919000017031,+919000016201,2026-03-16 04:47:56,355,CT-004,voice
CALL-000247,+919000016503,+919000017028,2026-03-16 05:06:57,92,CT-002,voice
CALL-000248,+919000011593,+919000017097,2026-03-16 07:22:57,0,CT-008,sms
CALL-000249,+919000014417,+919000014892,2026-03-16 11:06:00,44,CT-003,voice
CALL-000250,+919000017022,+919000017049,2026-03-16 11:46:26,637,CT-024,voice
CALL-000251,+919000011701,+919000014420,2026-03-16 12:11:00,161,CT-001,voice
CALL-000252,+919000017055,+919000017061,2026-03-16 12:30:26,216,CT-006,voice
CALL-000253,+919000017139,+919000017085,2026-03-16 13:19:42,639,CT-010,voice
CALL-000254,+919000011593,+919000017070,2026-03-16 16:34:22,0,CT-008,sms
CALL-000255,+919000011376,+919000011482,2026-03-16 18:30:11,399,CT-011,voice
CALL-000256,+919000017070,+919000011593,2026-03-16 18:45:40,623,CT-018,voice
CALL-000257,+919000014892,+919000014907,2026-03-16 22:00:28,317,CT-020,voice
CALL-000258,+919000011376,+919000011482,2026-03-16 23:27:56,135,CT-024,voice
CALL-000259,+919000017013,+919000014420,2026-03-17 00:53:37,352,CT-015,voice
CALL-000260,+919000017139,+919000016201,2026-03-17 02:00:49,96,CT-004,voice
CALL-000261,+919000017031,+919000017121,2026-03-17 02:49:02,67,CT-020,voice
CALL-000262,+919000016201,+919000017148,2026-03-17 02:54:02,126,CT-004,voice
CALL-000263,+919000016201,+919000017067,2026-03-17 02:55:43,178,CT-004,voice
CALL-000264,+919000017115,+919000017118,2026-03-17 03:26:55,0,CT-006,sms
CALL-000265,+919000016201,+919000017016,2026-03-17 03:55:51,104,CT-004,voice
CALL-000266,+919000016201,+919000017139,2026-03-17 03:57:53,72,CT-004,voice
CALL-000267,+919000016201,+919000017031,2026-03-17 04:33:58,48,CT-004,voice
CALL-000268,+919000016201,+919000017121,2026-03-17 05:04:08,502,CT-017,voice
CALL-000269,+919000014892,+919000014417,2026-03-17 06:46:05,179,CT-020,voice
CALL-000270,+919000014892,+919000014417,2026-03-17 06:48:21,104,CT-020,voice
CALL-000271,+919000014417,+919000014892,2026-03-17 07:02:18,155,CT-003,voice
CALL-000272,+919000014892,+919000014417,2026-03-17 08:19:10,0,CT-020,sms
CALL-000273,+919000014417,+919000014892,2026-03-17 09:04:59,126,CT-003,voice
CALL-000274,+919000017127,+919000017010,2026-03-17 09:26:40,0,CT-016,sms
CALL-000275,+919000014417,+919000014892,2026-03-17 09:56:40,138,CT-003,voice
CALL-000276,+919000014892,+919000014417,2026-03-17 10:13:12,184,CT-020,voice
CALL-000277,+919000014417,+919000014892,2026-03-17 10:18:34,77,CT-003,voice
CALL-000278,+919000014417,+919000014892,2026-03-17 11:09:17,114,CT-003,voice
CALL-000279,+919000011644,+919000011593,2026-03-17 11:24:30,0,CT-010,sms
CALL-000280,+919000016503,+919000015377,2026-03-17 11:25:29,288,CT-007,voice
CALL-000281,+919000014892,+919000014417,2026-03-17 11:31:29,0,CT-020,sms
CALL-000282,+919000014417,+919000014892,2026-03-17 12:03:14,183,CT-003,voice
CALL-000283,+919000014417,+919000014892,2026-03-17 12:13:50,31,CT-001,voice
CALL-000284,+919000014892,+919000014417,2026-03-17 13:02:30,192,CT-015,voice
CALL-000285,+919000014892,+919000014417,2026-03-17 13:41:55,182,CT-020,voice
CALL-000286,+919000014417,+919000014892,2026-03-17 14:09:49,51,CT-003,voice
CALL-000287,+919000014892,+919000014417,2026-03-17 14:40:38,195,CT-001,voice
CALL-000288,+919000014417,+919000014892,2026-03-17 15:25:10,0,CT-003,sms
CALL-000289,+919000014892,+919000014417,2026-03-17 15:29:11,16,CT-003,voice
CALL-000290,+919000014503,+919000014661,2026-03-17 16:17:59,59,CT-021,voice
CALL-000291,+919000014892,+919000014417,2026-03-17 16:19:58,121,CT-020,voice
CALL-000292,+919000014417,+919000014892,2026-03-17 16:54:19,0,CT-003,sms
CALL-000293,+919000014892,+919000014417,2026-03-17 17:53:14,113,CT-020,voice
CALL-000294,+919000014417,+919000014892,2026-03-17 18:11:04,59,CT-003,voice
CALL-000295,+919000017022,+919000018546,2026-03-17 18:34:33,115,CT-024,voice
CALL-000296,+919000014892,+919000014417,2026-03-17 18:48:06,0,CT-020,sms
CALL-000297,+919000014892,+919000014417,2026-03-17 19:19:12,0,CT-020,sms
CALL-000298,+919000017043,+919000017079,2026-03-17 19:40:46,104,CT-022,voice
CALL-000299,+919000014892,+919000014417,2026-03-17 19:52:42,194,CT-020,voice
CALL-000300,+919000014417,+919000014892,2026-03-17 20:15:12,86,CT-003,voice
CALL-000301,+919000014417,+919000014892,2026-03-17 20:48:57,182,CT-003,voice
CALL-000302,+919000014417,+919000014892,2026-03-17 21:24:45,206,CT-003,voice
CALL-000303,+919000014417,+919000014503,2026-03-17 21:30:44,279,CT-003,voice
CALL-000304,+919000014892,+919000014417,2026-03-17 22:48:58,128,CT-020,voice
CALL-000305,+919000014892,+919000014417,2026-03-17 22:50:20,79,CT-020,voice
CALL-000306,+919000017154,+919000016340,2026-03-18 02:28:36,0,CT-016,sms
CALL-000307,+919000018465,+919000017079,2026-03-18 03:51:53,420,CT-012,voice
CALL-000308,+919000017061,+919000017106,2026-03-18 05:10:04,13,CT-010,voice
CALL-000309,+919000017049,+919000018465,2026-03-18 05:47:35,485,CT-006,voice
CALL-000310,+919000017070,+919000017115,2026-03-18 06:00:50,209,CT-005,voice
CALL-000311,+919000014417,+919000014892,2026-03-18 06:14:10,24,CT-003,voice
CALL-000312,+919000014892,+919000014417,2026-03-18 06:36:53,133,CT-020,voice
CALL-000313,+919000014417,+919000014892,2026-03-18 07:22:30,141,CT-003,voice
CALL-000314,+919000014892,+919000014417,2026-03-18 07:44:45,0,CT-020,sms
CALL-000315,+919000014417,+919000014892,2026-03-18 08:25:17,0,CT-003,sms
CALL-000316,+919000014417,+919000014892,2026-03-18 09:36:27,54,CT-009,voice
CALL-000317,+919000014892,+919000014417,2026-03-18 09:38:17,53,CT-020,voice
CALL-000318,+919000014892,+919000014417,2026-03-18 10:08:52,153,CT-020,voice
CALL-000319,+919000017145,+919000017034,2026-03-18 10:17:30,31,CT-023,voice
CALL-000320,+919000014892,+919000014417,2026-03-18 10:48:23,99,CT-020,voice
CALL-000321,+919000014892,+919000014417,2026-03-18 11:40:18,149,CT-016,voice
CALL-000322,+919000014417,+919000014892,2026-03-18 11:57:11,0,CT-003,sms
CALL-000323,+919000014892,+919000014417,2026-03-18 12:07:19,40,CT-020,voice
CALL-000324,+919000014503,+919000014907,2026-03-18 12:28:49,269,CT-021,voice
CALL-000325,+919000016340,+919000011593,2026-03-18 13:21:16,68,CT-016,voice
CALL-000326,+919000017031,+919000017121,2026-03-18 13:38:49,477,CT-021,voice
CALL-000327,+919000014417,+919000014892,2026-03-18 13:42:58,29,CT-003,voice
CALL-000328,+919000014417,+919000014892,2026-03-18 13:56:06,207,CT-021,voice
CALL-000329,+919000014417,+919000014892,2026-03-18 14:44:23,0,CT-025,sms
CALL-000330,+919000014417,+919000014892,2026-03-18 15:08:49,155,CT-003,voice
CALL-000331,+919000014417,+919000014892,2026-03-18 15:24:53,145,CT-023,voice
