account_id,account_holder_person_id,bank_name,account_number,account_type,opening_date,kyc_status
ACC0026,P0403,Ratnagiri Commercial Bank,76443374979,SAVINGS,2023-03-10,VERIFIED
ACC0027,P0404,Girnar Small Finance Bank,76959998879,SAVINGS,2018-03-06,VERIFIED
ACC0028,P0405,Ratnagiri Commercial Bank,37670497439,SAVINGS,2023-08-19,VERIFIED
ACC0029,P0406,Chandrabhaga Bank Ltd,35406512289,SAVINGS,2019-03-16,VERIFIED
ACC0030,P0407,Vindhya Urban Bank,52599686069,SAVINGS,2022-11-14,VERIFIED
ACC0031,P0408,Ratnagiri Commercial Bank,66182916799,SAVINGS,2018-01-02,VERIFIED
ACC0032,P0409,Narmada National Bank,88559728399,SAVINGS,2017-05-26,VERIFIED
ACC0033,P0410,Ratnagiri Commercial Bank,67124785479,SAVINGS,2024-04-22,VERIFIED
ACC0034,P0411,Narmada National Bank,69262165119,SAVINGS,2021-02-11,VERIFIED
ACC0035,P0412,Chandrabhaga Bank Ltd,56399973589,SAVINGS,2023-05-28,VERIFIED
ACC0036,P0413,Sahyadri Cooperative Bank,40830344829,SAVINGS,2021-08-20,VERIFIED
ACC0037,P0414,Vindhya Urban Bank,66196003199,SAVINGS,2019-08-12,VERIFIED
ACC0038,P0415,Ratnagiri Commercial Bank,49290299079,SAVINGS,2024-08-19,VERIFIED
ACC0039,P0416,Ratnagiri Commercial Bank,52309762659,SAVINGS,2018-12-22,VERIFIED
ACC0040,P0417,Ratnagiri Commercial Bank,52196825759,SAVINGS,2017-12-28,VERIFIED
ACC0041,P0418,Chandrabhaga Bank Ltd,89692612659,SAVINGS,2020-08-12,VERIFIED
ACC0042,P0419,Narmada National Bank,79281737619,SAVINGS,2017-08-13,VERIFIED
ACC0043,P0420,Girnar Small Finance Bank,67754719459,SAVINGS,2016-04-15,VERIFIED
ACC0044,P0421,Girnar Small Finance Bank,37129762829,SAVINGS,2020-08-19,VERIFIED
ACC0045,P0422,Vindhya Urban Bank,86750775339,SAVINGS,2025-04-14,VERIFIED
ACC0046,P0423,Ratnagiri Commercial Bank,42807378999,SAVINGS,2019-04-23,VERIFIED
ACC0047,P0424,Narmada National Bank,35705121699,SAVINGS,2020-08-05,VERIFIED
ACC0048,P0425,Vindhya Urban Bank,75588443189,SAVINGS,2024-12-24,VERIFIED
ACC0049,P0426,Sahyadri Cooperative Bank,68442786269,SAVINGS,2022-07-09,VERIFIED
ACC0050,P0427,Narmada National Bank,40201734359,SAVINGS,2021-03-09,VERIFIED
ACC0051,P0428,Vindhya Urban Bank,73440904549,SAVINGS,2016-11-09,VERIFIED
ACC0052,P0429,Vindhya Urban Bank,54855892909,SAVINGS,2021-07-12,VERIFIED
ACC0053,P0430,Girnar Small Finance Bank,73790059629,SAVINGS,2019-05-13,VERIFIED
ACC0054,P0431,Sahyadri Cooperative Bank,88771990639,SAVINGS,2022-08-22,VERIFIED
ACC0055,P0432,Girnar Small Finance Bank,85427295229,SAVINGS,2024-06-27,VERIFIED
ACC0056,P0433,Ratnagiri Commercial Bank,51657566139,SAVINGS,2019-04-18,VERIFIED
ACC0057,P0434,Chandrabhaga Bank Ltd,73989386249,SAVINGS,2016-06-13,VERIFIED
ACC0058,P0435,Girnar Small Finance Bank,63898790709,SAVINGS,2016-06-17,VERIFIED
ACC0059,P0436,Sahyadri Cooperative Bank,62163416749,SAVINGS,2023-08-02,VERIFIED
ACC0060,P0437,Narmada National Bank,39565561339,SAVINGS,2022-12-19,VERIFIED
ACC0061,P0438,Girnar Small Finance Bank,39505293339,SAVINGS,2016-02-09,VERIFIED
ACC0062,P0439,Vindhya Urban Bank,70335854569,SAVINGS,2024-03-10,VERIFIED
ACC0063,P0440,Chandrabhaga Bank Ltd,49667546989,SAVINGS,2025-12-05,VERIFIED
ACC0064,P0441,Ratnagiri Commercial Bank,47671279259,SAVINGS,2020-06-20,VERIFIED
ACC0065,P0442,Sahyadri Cooperative Bank,53319811979,SAVINGS,2017-10-28,VERIFIED
ACC0066,P0443,Vindhya Urban Bank,50902382889,SAVINGS,2024-02-22,VERIFIED
ACC0067,P0444,Narmada National Bank,59653180009,SAVINGS,2023-07-11,VERIFIED
ACC0068,P0445,Chandrabhaga Bank Ltd,79447798549,SAVINGS,2022-05-16,VERIFIED
ACC0069,P0446,Narmada National Bank,38947861749,SAVINGS,2020-05-11,VERIFIED
ACC0070,P0447,Narmada National Bank,58480652439,SAVINGS,2021-07-13,VERIFIED
ACC0071,P0448,Vindhya Urban Bank,44146581779,SAVINGS,2024-08-17,VERIFIED
ACC0072,P0449,Narmada National Bank,69223234439,SAVINGS,2025-05-02,VERIFIED
ACC0073,P0450,Ratnagiri Commercial Bank,85668176219,SAVINGS,2025-08-04,VERIFIED
ACC0074,P0451,Vindhya Urban Bank,66881721399,SAVINGS,2022-06-16,VERIFIED
ACC0075,P0452,Girnar Small Finance Bank,49560260299,SAVINGS,2025-09-12,VERIFIED
ACC0076,P0453,Vindhya Urban Bank,30106974549,SAVINGS,2023-01-20,VERIFIED
ACC0077,P0454,Chandrabhaga Bank Ltd,41316435549,SAVINGS,2022-06-28,VERIFIED
ACC0078,P0455,Ratnagiri Commercial Bank,85334551379,SAVINGS,2022-02-25,VERIFIED
ACC0079,P0412,Vindhya Urban Bank,43281724769,CURRENT,2021-07-19,VERIFIED
ACC0080,P0411,Sahyadri Cooperative Bank,49994477919,CURRENT,2016-02-20,VERIFIED
ACC0081,P0423,Girnar Small Finance Bank,79100196469,CURRENT,2023-05-09,VERIFIED
ACC0082,P0424,Sahyadri Cooperative Bank,67387903659,CURRENT,2022-09-06,VERIFIED
ACC0083,P0422,Ratnagiri Commercial Bank,56752261939,CURRENT,2020-09-12,VERIFIED
ACC0084,P0420,Girnar Small Finance Bank,57229119309,CURRENT,2020-01-23,VERIFIED
ACC0085,P0440,Sahyadri Cooperative Bank,51127835129,CURRENT,2018-11-02,VERIFIED
ACC0086,P0402,Chandrabhaga Bank Ltd,83821903219,CURRENT,2017-08-12,VERIFIED
ACC0087,P0439,Ratnagiri Commercial Bank,83163324739,CURRENT,2022-05-06,VERIFIED
